,Data,Username,Tweet,URL,Respostas,Retweets,Likes
23,2021-09-11 21:06:08+00:00,mandetta,Galvão https://t.co/4mHRe6rrVt,https://twitter.com/mandetta/status/1436798237898379264,2934,360,7600
24,2021-09-09 21:03:24+00:00,mandetta,Fez pipi na cama https://t.co/kEgroGqMBk,https://twitter.com/mandetta/status/1436072770656514049,592,412,6341
25,2021-09-09 11:35:17+00:00,mandetta,Ja dizia minha vó: Quem brinca com fogo se queima. Ou faz pipi na cama.,https://twitter.com/mandetta/status/1435929801370607622,1348,309,7368
26,2021-09-08 20:56:24+00:00,mandetta,Bolsa cai. Dólar sobe. E a base reajusta o aluguel do apoio. País à deriva. Líder tóxico.,https://twitter.com/mandetta/status/1435708622026248201,3635,750,11955
27,2021-09-08 00:18:46+00:00,mandetta,@cirogomes @Ticostacruz @randolfeap @gisellebezerra Ótimo papo! Diálogo!!! Abraço e obrigado pelo convite,https://twitter.com/mandetta/status/1435397161844449290,74,61,1399
28,2021-09-07 23:10:16+00:00,mandetta,Já já entro na live pra conversar com @cirogomes sobre o #7DeSetembro https://t.co/guuAzmDDB5,https://twitter.com/mandetta/status/1435379921677864974,348,164,1941
29,2021-09-07 13:30:39+00:00,mandetta,"O 7 de setembro não pode ser o ""nós contra eles"". Não podemos aceitar o Brasil ser dividido assim, por discursos de ódio. Temos problemas reais que precisam ser atacados. Vamos CONSTRUIR, e não destruir. Vamos CURAR, e não ferir. A luta é pela Democracia! E também pela Paz!",https://twitter.com/mandetta/status/1435234056766169091,883,349,5892
30,2021-09-06 18:52:21+00:00,mandetta,"Neste 7 de setembro, fique em casa. Tudo que Bolsonaro quer é que alguém saia ferido, para justificar uma escalada autoritária. Se você quer protestar contra Bolsonaro, como eu vou, vá às ruas em outra data. Não seja instrumento de políticos que semeiam o caos. Você merece mais",https://twitter.com/mandetta/status/1434952630401384449,3382,1441,15998
31,2021-09-04 12:53:18+00:00,mandetta,"Você que vai pra rua no 7 de setembro, está indo defender o que, exatamente? O aumento da fome e do desemprego, a gasolina cara, a crise energética, as mansões ou a impunidade do presidente e da família dele?",https://twitter.com/mandetta/status/1434137494833049602,6209,3265,24315
32,2021-09-01 00:32:10+00:00,mandetta,"O brasileiro vai pagar R$ 14,20 por cada 100 kWh consumido na conta de luz. 

Um aumento de 50%. 

O presidente devia estar trabalhando pra aliviar o sofrimento da população com desemprego, pobreza e inflação. Mas, ao invés disso, está criando confusão. VAI TRABALHAR, BOLSONARO!",https://twitter.com/mandetta/status/1432863817571180548,1413,639,7860
