,Data,Username,Tweet,URL,Respostas,Retweets,Likes
20,2022-06-03 14:19:05+00:00,PazuelloGeneral,"É só estando nas estradas e visitando os municípios que conhecemos a realidade e as necessidades para construir um estado do Rio melhor para todos.
#tamojunto",https://twitter.com/PazuelloGeneral/status/1532728584091082755,3,25,235
21,2022-06-03 14:19:05+00:00,PazuelloGeneral,"Depois, junto ao meu amigo, o governador @claudiocastrorj, acompanhei a cerimônia de anúncio das obras que serão realizadas pelo governo estadual e tanto beneficiarão o nosso povo fluminense.",https://twitter.com/PazuelloGeneral/status/1532728582203658240,3,29,258
22,2022-06-03 14:19:04+00:00,PazuelloGeneral,"Ontem, quinta-feira (03/06), estive em Resende e visitei  a Associação de Proteção à Maternidade e à Infância de Resende - APMIR. Trabalho lindo no cuidado das mulheres e crianças! https://t.co/tIcyPu2tH0",https://twitter.com/PazuelloGeneral/status/1532728579728998402,14,81,598
23,2022-06-01 16:10:57+00:00,PazuelloGeneral,"Deixo minha profunda e sincera homenagem a todos os guerreiros e guerreiras de selva!
SELVA! 

#diadoguerreirodeselva #cigs #selva #mística #teixeirao #guerranaselva #pazuello https://t.co/45ZqMmzTfh",https://twitter.com/PazuelloGeneral/status/1532031957936263168,13,38,286
24,2022-06-01 12:21:48+00:00,PazuelloGeneral,"Vamos continuar nessa direção, estamos no caminho certo ! 🚀🇧🇷🇧🇷 https://t.co/3fOHXUulmG",https://twitter.com/PazuelloGeneral/status/1531974290895212544,22,177,949
25,2022-05-31 16:20:40+00:00,PazuelloGeneral,@Maranga2022 @jairbolsonaro @sikerajr TamoJunto! 🇧🇷,https://twitter.com/PazuelloGeneral/status/1531672015026921472,1,1,16
26,2022-05-31 16:13:08+00:00,PazuelloGeneral,"Quem assistiu essa entrevista exclusiva do PR @jairbolsonaro ao programa do @sikerajr? 🇧🇷

https://t.co/8hFpfmr3dS

#Bolsonaro #brasil #Pazuello",https://twitter.com/PazuelloGeneral/status/1531670119163781122,19,73,499
27,2022-05-29 18:19:35+00:00,PazuelloGeneral,"29 de maio | Dia Internacional dos #Peacekeepers, instituído pela @NacoesUnidas como forma de homenagear todos os homens e mulheres que atuam em Operações de Manutenção de Paz! 🏳️🗺️
Parabéns à todos os integrantes e ex integrantes dos capacetes azuis!
https://t.co/1rZI9S0Csw",https://twitter.com/PazuelloGeneral/status/1530977166288199680,3,30,224
28,2022-05-27 18:32:20+00:00,PazuelloGeneral,"Hoje, 27 de maio, celebramos o Dia do Profissional Liberal. Meu agradecimento a vocês que batalham e são parte fundamental na construção de um país mais forte. 🇧🇷 #tamojunto #brasil #Pazuello",https://twitter.com/PazuelloGeneral/status/1530255600407527425,9,75,836
29,2022-05-26 20:44:06+00:00,PazuelloGeneral,"O #tbt de hoje é um momento bacana com meus filhos Pedro e Victor. 
Tenho uma imenso orgulho, de vê-los crescer, de vê-los se tornarem uma nova geração de homens com caráter e os valores morais, essenciais para a construção de um Brasil melhor.

#família #pazuello #tbt https://t.co/ZtftXoSgmh",https://twitter.com/PazuelloGeneral/status/1529926372059226112,16,61,619
